Id,Designator,Footprint,Quantity,Designation,LCSC Part Number
1,"C37,C30,C10",C_0805_2012Metric,3,10uF,C15850
2,"C12,C11",C_0402_1005Metric,2,1uF,C107372
3,"C25,C15,C8,C27,C28,C29,C31,C32,C14,C34",C_0402_1005Metric,10,100nF,C60474
4,U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C2902118
5,"C26,C33",C_0402_1005Metric,2,30pF,C107004
6,U4,RP2040-QFN-56,1,RP2040,C2040
7,R11,C_0402_1005Metric,1,1k,C11702
8,Y1,ABM810000MHZ12D2W,1,ABM8-12.000MHZ-20-B1U-T,C133334
9,VR1,TC33X2503E,1,TC33X-2-103E,C719176
10,"J7,J2,J5",JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,1,JST_SH_BM05B,C160391
11,"L7,L6,L2,L8,L5,L1,L3,L4",L_0805_2012Metric,8,L_Ferrite,C369519
12,"R6,R3,R4,R10",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4,0.1ohms,C3013344
13,"R5,R1",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,1M,C138033
14,"C20,C2,C22,C23,C5,C6,C36,C7",C_0805_2012Metric,8,1nF,C51210
15,"C35,C17",C_0603_1608Metric,2,0.47uF,C577418
17,"J4,J1",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Motor,C37815
18,"J6,J3",JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BM03B-SRSS,C160389
19,"C4,C19",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,10nF,C100042
20,"C3,C16,C1,C18,C21,C13",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,6,0.1uf,C3011705
21,"R12,R7,R2",R_0402,2,10k,C60490
23,"C9,C24",CAPAE660X800N,2,100uF,C250945
24,"U1,U2",IC_TPS61196PWPRQ1,2,DRV8825PWP,C81582
25,IC1,SON127P600X500X80-9N-D,1,W25Q32JVZPIQ,C571260
26,"R9,R8,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,3,1.5k,C114759
29,J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Power,C442299
